id	lipid	formula	adduct	template_file
Lipid00342	PC(18:2_20:2)	C46H84NO8P	NA	NA
Lipid00343	PC(18:1_20:3)	C46H84NO8P	NA	NA
Lipid00344	PC(18:0_20:4)	C46H84NO8P	NA	NA
Lipid00345	PC(18:3_20:0)	C46H86NO8P	NA	NA
Lipid00346	PC(18:2_20:1)	C46H86NO8P	NA	NA
Lipid00347	PC(18:1_20:2)	C46H86NO8P	NA	NA
Lipid00348	PC(18:0_20:3)	C46H86NO8P	NA	NA
Lipid00349	PC(18:2_20:0)	C46H88NO8P	NA	NA
Lipid00350	PC(18:1_20:1)	C46H88NO8P	NA	NA
Lipid00351	PC(18:0_20:2)	C46H88NO8P	NA	NA
Lipid00352	PC(19:1_19:1)	C46H88NO8P	NA	NA
Lipid00353	PC(16:1_22:0)	C46H90NO8P	NA	NA
Lipid00354	PC(18:1_20:0)	C46H90NO8P	NA	NA
Lipid00355	PC(18:0_20:1)	C46H90NO8P	NA	NA
Lipid00356	PC(19:0_19:1)	C46H90NO8P	NA	NA
Lipid00357	PC(16:0_22:0)	C46H92NO8P	NA	NA
Lipid00358	PC(18:0_20:0)	C46H92NO8P	NA	NA
Lipid00359	PC(19:0_19:0)	C46H92NO8P	NA	NA
Lipid00360	PC(17:1_20:5)	C45H78NO8P	NA	NA
Lipid00361	PC(17:0_20:5)	C45H80NO8P	NA	NA
Lipid00362	PC(17:1_20:4)	C45H80NO8P	NA	NA
Lipid00363	PC(18:4_19:1)	C45H80NO8P	NA	NA
Lipid00364	PC(17:0_20:4)	C45H82NO8P	NA	NA
Lipid00365	PC(17:1_20:3)	C45H82NO8P	NA	NA
Lipid00366	PC(18:4_19:0)	C45H82NO8P	NA	NA
Lipid00367	PC(18:3_19:1)	C45H82NO8P	NA	NA
Lipid00368	PC(17:0_20:3)	C45H84NO8P	NA	NA
Lipid00369	PC(17:1_20:2)	C45H84NO8P	NA	NA
Lipid00370	PC(18:3_19:0)	C45H84NO8P	NA	NA
Lipid00371	PC(18:2_19:1)	C45H84NO8P	NA	NA
Lipid00372	PC(17:0_20:2)	C45H86NO8P	NA	NA
Lipid00373	PC(17:1_20:1)	C45H86NO8P	NA	NA
Lipid00374	PC(18:2_19:0)	C45H86NO8P	NA	NA
Lipid00375	PC(18:1_19:1)	C45H86NO8P	NA	NA
Lipid00376	PC(17:0_20:1)	C45H88NO8P	NA	NA
Lipid00377	PC(17:1_20:0)	C45H88NO8P	NA	NA
Lipid00378	PC(18:1_19:0)	C45H88NO8P	NA	NA
Lipid00379	PC(18:0_19:1)	C45H88NO8P	NA	NA
Lipid00380	PC(15:0_22:0)	C45H90NO8P	NA	NA
Lipid00381	PC(17:0_20:0)	C45H90NO8P	NA	NA
Lipid00382	PC(18:0_19:0)	C45H90NO8P	NA	NA
Lipid00383	PC(18:4_18:4)	C44H72NO8P	NA	NA
Lipid00384	PC(18:3_18:4)	C44H74NO8P	NA	NA
Lipid00385	PC(16:1_20:5)	C44H76NO8P	NA	NA
Lipid00386	PC(18:2_18:4)	C44H76NO8P	NA	NA
Lipid00387	PC(18:3_18:3)	C44H76NO8P	NA	NA
Lipid00388	PC(16:1_20:4)	C44H78NO8P	NA	NA
Lipid00389	PC(16:0_20:5)	C44H78NO8P	NA	NA
Lipid00390	PC(18:1_18:4)	C44H78NO8P	NA	NA
Lipid00391	PC(18:2_18:3)	C44H78NO8P	NA	NA
Lipid00392	PC(16:1_20:3)	C44H80NO8P	NA	NA
